company,ticker,asset_type,owner_code,date,type,amount
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,15001 - $50000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,15001 - $50000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Bank of New York Brokerage Account 340 JT,,,,11/30/2022,S,1001 - $15000
DSL Living Trust ⇒ Fidelity Investments Brokerage Account ⇒ JT,,,,01/27/2022,S,1001 - $15000
DSL Living Trust ⇒ Fidelity Investments Brokerage Account ⇒ JT,,,,10/27/2022,S,1001 - $15000
DSL Living Trust ⇒ Fidelity Investments Brokerage Account ⇒ JT,,,,10/27/2022,S,1001 - $15000
DSL Living Trust ⇒ Penn Capital Funds Brokerage Account ⇒ JT,,,,04/27/2022,S,50001
Fidelity Investments Individual Brokerage ⇒ SP,,,,01/27/2022,P,15001 - $50000
Fidelity Investments IRA ⇒,,,,06/10/2022,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,08/16/2022,S,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/29/2022,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/30/2022,S,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/30/2022,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,01/12/2022,S,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,03/11/2022,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/28/2022,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,03/11/2022,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/30/2022,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/14/2022,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/30/2022,S,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/30/2022,S,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/16/2022,S,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,03/11/2022,S,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,03/11/2022,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/14/2022,P,50001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/30/2022,S,100001
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/16/2022,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/30/2022,S,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,03/11/2022,S,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,03/11/2022,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,11/29/2022,P,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,01/10/2022,P,15001 - $50000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/30/2022,S,1001 - $15000
Lee Children's Trust ⇒ Bank of New York Brokerage Account DC,,,,12/30/2022,S,15001 - $50000
Lee Children's Trust ⇒ Fidelity Investments Lee Children's DC,,,,05/12/2022,P,1001 - $15000
Lee Children's Trust ⇒ Gabelli G Research Brokerage Account DC,,,,12/29/2022,P,1001 - $15000
Suzanne and Daniel R. Lee Family Foundation ⇒ Fidelity JT,,,,05/12/2022,P,1001 - $15000
Fidelity Brokerage ⇒,,,,03/22/2023,S,500001
Morgan Stanley - Active Asset Account # 1 ⇒,,,,03/22/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,04/25/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,03/31/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,04/30/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,05/31/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,06/30/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,07/31/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,08/31/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,09/30/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,10/31/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,11/30/2023,P,1001 - $15000
Morgan Stanley - Active Asset Account # 1 ⇒,,,,03/24/2023,S,15001 - $50000
Morgan Stanley - Portfolio Management ⇒ JT,,,,03/22/2023,S,100001
Morgan Stanley - Portfolio Management ⇒ JT,,,,03/24/2023,S,1001 - $15000
Morgan Stanley - Portfolio Management ⇒ JT,,,,01/31/2023,P,15001 - $50000
Morgan Stanley - Portfolio Management ⇒ JT,,,,03/22/2023,S,15001 - $50000
Morgan Stanley - Portfolio Management ⇒ JT,,,,01/31/2023,S,15001 - $50000
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/14/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/14/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,S,250001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,S,500001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,S,500001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,02/13/2023,P,500001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/16/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,P,500001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/16/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,05/15/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,08/15/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,08/15/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,08/15/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,08/15/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,11/14/2023,P,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,11/14/2023,P,5000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,11/14/2023,S,1000001
Morgan Stanley - Portfolio Management Active Assets Account JT,,,,11/14/2023,S,5000001
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/20/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/21/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/24/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/26/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/31/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/10/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/26/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,05/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/28/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/23/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/17/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/24/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/20/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/21/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/13/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/20/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/19/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/16/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/23/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/27/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,12/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/29/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/20/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/24/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/16/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/23/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/12/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,07/18/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,08/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,09/15/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/25/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,10/11/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,11/10/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/14/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,04/12/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/27/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,06/22/2023,S,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,02/23/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,03/14/2023,P,1001 - $15000
Morgan Stanley - Select UMA Account # 1 ⇒ JT,,,,01/27/2023,S,1001 - $15000
